file,emotion,emotion.level,emotion.agreement
1001/1001_IEO_NEU_XX.wav,neutral,64.78,0.9
1001/1001_IEO_HAP_LO.wav,happiness,57.38,0.8888888888888891
1001/1001_IEO_HAP_MD.wav,happiness,56.56,0.9
1001/1001_IEO_HAP_HI.wav,happiness,73.2,1.0
1001/1001_IEO_SAD_LO.wav,neutral,74.8,0.555555555555556
1001/1001_IEO_SAD_MD.wav,neutral,72.33,0.6
1001/1001_IEO_SAD_HI.wav,neutral,63.5,0.6
1001/1001_IEO_ANG_LO.wav,neutral,78.0,0.444444444444444
1001/1001_IEO_ANG_MD.wav,anger,44.2,0.5
1001/1001_IEO_ANG_HI.wav,anger,63.25,0.8
1001/1001_IEO_FEA_LO.wav,neutral,65.4,0.5
1001/1001_IEO_FEA_MD.wav,fear,49.5,0.666666666666667
1001/1001_IEO_FEA_HI.wav,anger,67.0,0.42857142857142894
1001/1001_IEO_DIS_LO.wav,disgust,53.8,0.555555555555556
1001/1001_IEO_DIS_MD.wav,disgust,62.25,0.5714285714285711
1001/1001_IEO_DIS_HI.wav,disgust,57.17,0.666666666666667
1001/1001_TIE_NEU_XX.wav,neutral,77.6,1.0
1001/1001_TIE_HAP_XX.wav,happiness,63.75,0.8888888888888891
1001/1001_TIE_SAD_XX.wav,neutral,78.56,1.0
1001/1001_TIE_ANG_XX.wav,anger,52.0,0.7777777777777779
1001/1001_TIE_FEA_XX.wav,fear,52.56,0.9
1001/1001_TIE_DIS_XX.wav,disgust,69.33,0.6
1001/1001_IOM_NEU_XX.wav,neutral,78.0,0.7
1001/1001_IOM_HAP_XX.wav,happiness,63.25,0.8888888888888891
1001/1001_IOM_SAD_XX.wav,neutral,76.8,1.0
1001/1001_IOM_ANG_XX.wav,no_agreement,,0.4
1001/1001_IOM_FEA_XX.wav,anger,55.5,0.8
1001/1001_IOM_DIS_XX.wav,anger,55.6,0.5
1001/1001_IWW_NEU_XX.wav,neutral,79.14,0.7
1001/1001_IWW_HAP_XX.wav,happiness,46.43,0.7
1001/1001_IWW_SAD_XX.wav,fear,48.86,0.7
1001/1001_IWW_ANG_XX.wav,anger,42.0,0.5
1001/1001_IWW_FEA_XX.wav,no_agreement,,0.444444444444444
1001/1001_IWW_DIS_XX.wav,disgust,73.67,0.6
1001/1001_TAI_NEU_XX.wav,neutral,85.38,0.8
1001/1001_TAI_HAP_XX.wav,happiness,48.86,0.7
1001/1001_TAI_SAD_XX.wav,neutral,72.25,0.444444444444444
1001/1001_TAI_ANG_XX.wav,disgust,50.2,0.555555555555556
1001/1001_TAI_FEA_XX.wav,fear,64.78,0.9
1001/1001_TAI_DIS_XX.wav,anger,58.4,0.625
1001/1001_MTI_NEU_XX.wav,neutral,70.86,0.875
1001/1001_MTI_HAP_XX.wav,happiness,80.67,0.666666666666667
1001/1001_MTI_SAD_XX.wav,neutral,65.62,0.8
1001/1001_MTI_ANG_XX.wav,neutral,56.83,0.6
1001/1001_MTI_FEA_XX.wav,fear,86.6,0.555555555555556
1001/1001_MTI_DIS_XX.wav,disgust,71.0,0.555555555555556
1001/1001_IWL_NEU_XX.wav,neutral,64.5,0.8888888888888891
1001/1001_IWL_HAP_XX.wav,happiness,63.43,0.7
1001/1001_IWL_SAD_XX.wav,disgust,34.33,0.33333333333333304
1001/1001_IWL_ANG_XX.wav,anger,54.86,0.7
1001/1001_IWL_FEA_XX.wav,anger,40.0,0.7
1001/1001_IWL_DIS_XX.wav,anger,52.8,0.555555555555556
1001/1001_ITH_NEU_XX.wav,neutral,74.3,1.0
1001/1001_ITH_HAP_XX.wav,happiness,55.8,1.0
1001/1001_ITH_SAD_XX.wav,neutral,59.4,0.625
1001/1001_ITH_ANG_XX.wav,disgust,29.8,0.555555555555556
1001/1001_ITH_FEA_XX.wav,fear,62.67,0.818181818181818
1001/1001_ITH_DIS_XX.wav,disgust,61.4,0.45454545454545503
1001/1001_DFA_NEU_XX.wav,neutral,75.88,0.7272727272727271
1001/1001_DFA_HAP_XX.wav,happiness,57.9,0.9090909090909091
1001/1001_DFA_SAD_XX.wav,neutral,63.6,0.45454545454545503
1001/1001_DFA_ANG_XX.wav,anger,41.5,0.8888888888888891
1001/1001_DFA_FEA_XX.wav,fear,44.8,0.5
1001/1001_DFA_DIS_XX.wav,disgust,41.83,0.6
1001/1001_ITS_NEU_XX.wav,neutral,77.6,0.833333333333333
1001/1001_ITS_HAP_XX.wav,happiness,67.4,1.0
1001/1001_ITS_SAD_XX.wav,neutral,61.75,0.36363636363636404
1001/1001_ITS_ANG_XX.wav,anger,42.33,0.545454545454545
1001/1001_ITS_FEA_XX.wav,fear,70.14,0.583333333333333
1001/1001_ITS_DIS_XX.wav,disgust,45.4,0.5
1001/1001_TSI_NEU_XX.wav,neutral,77.36,1.0
1001/1001_TSI_HAP_XX.wav,happiness,74.27,1.0
1001/1001_TSI_SAD_XX.wav,neutral,54.0,0.4
1001/1001_TSI_ANG_XX.wav,anger,44.0,0.555555555555556
1001/1001_TSI_FEA_XX.wav,fear,64.0,0.9
1001/1001_TSI_DIS_XX.wav,disgust,65.57,0.6363636363636359
1001/1001_WSI_NEU_XX.wav,neutral,71.78,0.818181818181818
1001/1001_WSI_HAP_XX.wav,happiness,78.78,1.0
1001/1001_WSI_SAD_XX.wav,neutral,68.29,0.7
1001/1001_WSI_ANG_XX.wav,anger,63.3,0.9090909090909091
