Wall time,Step,Value
1774948659.1243913,1,0.0
1774948660.2159882,2,0.0
1774948662.2874956,3,0.0
1774948662.541415,4,0.0
1774948664.6041946,5,0.0
1774948665.7013059,6,0.0
1774948666.811145,7,0.0
1774948667.9147964,8,0.0
1774948669.0287886,9,0.0
1774948670.1438365,10,0.0
1774948671.2875333,11,0.0
1774948672.4040017,12,0.0
1774948673.533873,13,0.0
1774948674.6831663,14,0.0
1774948674.9029434,15,0.0
1774948676.9386666,16,0.0
1774948678.0652528,17,0.0
1774948679.194787,18,0.0
1774948680.2970035,19,0.0
1774948680.5060592,20,0.0
1774948681.636784,21,0.0
1774948682.7943747,22,0.0
1774948685.4832485,23,0.0
1774948685.7126307,24,0.0
1774948688.2389307,25,0.0
1774948689.6893444,26,0.0
1774948691.1477873,27,0.0
1774948692.589941,28,0.0
1774948695.2788723,29,0.0
1774948697.9376395,30,0.0
1774948700.6142972,31,0.0
1774948702.9403682,32,0.0
1774948706.0419638,33,0.0
1774948732.660356,34,1.0
1774948732.9846673,35,1.0
1774948733.2380643,36,1.0
1774948733.4787118,37,1.0
1774948733.7244415,38,1.0
1774948733.9672244,39,1.0
1774948734.2005653,40,1.0
1774948734.4221928,41,1.0
1774948734.657227,42,1.0
1774948734.8847723,43,1.0
1774948735.1301608,44,1.0
1774948735.3685906,45,1.0
1774948735.5940173,46,1.0
1774948735.8243682,47,1.0
1774948736.0606139,48,1.0
1774948736.2949636,49,1.0
1774948736.5233378,50,1.0
1774948736.7618105,51,1.0
1774948736.9937108,52,1.0
1774948737.2273872,53,1.0
1774948737.4572263,54,1.0
1774948737.6824474,55,1.0
1774948737.9085836,56,1.0
1774948738.1376212,57,1.0
1774948738.3647866,58,1.0
1774948738.5905726,59,1.0
1774948738.816944,60,1.0
1774948739.0370145,61,1.0
1774948739.2536466,62,1.0
1774948739.4806705,63,1.0
1774948739.7169738,64,1.0
1774948739.9489086,65,1.0
1774948740.1727517,66,1.0
1774948769.4104328,67,2.0
1774948769.7483153,68,2.0
1774948769.9878004,69,2.0
1774948770.222443,70,2.0
1774948770.4564657,71,2.0
1774948770.6835225,72,2.0
1774948770.9134073,73,2.0
1774948771.1325102,74,2.0
1774948771.3595326,75,2.0
1774948771.5982714,76,2.0
1774948771.8416035,77,2.0
1774948772.0743861,78,2.0
1774948772.2989397,79,2.0
1774948772.5361984,80,2.0
1774948772.7657356,81,2.0
1774948772.994868,82,2.0
1774948773.2149878,83,2.0
1774948773.4393046,84,2.0
1774948773.6563005,85,2.0
1774948773.884442,86,2.0
1774948774.1244884,87,2.0
1774948774.3628793,88,2.0
1774948774.5960827,89,2.0
1774948774.8430269,90,2.0
1774948775.0843914,91,2.0
1774948775.3123925,92,2.0
1774948775.5437474,93,2.0
1774948775.768649,94,2.0
1774948775.9919622,95,2.0
1774948776.221735,96,2.0
1774948776.4593034,97,2.0
1774948776.6847599,98,2.0
1774948776.9201589,99,2.0
