Wall time,Step,Value
1775640639.4353843,1,0.0
1775640641.0690832,2,0.0
1775640644.0639858,3,0.0
1775640644.3467011,4,0.0
1775640647.410017,5,0.0
1775640649.0748184,6,0.0
1775640650.7144861,7,0.0
1775640652.3368313,8,0.0
1775640653.9664216,9,0.0
1775640655.5958965,10,0.0
1775640657.3089554,11,0.0
1775640658.9568,12,0.0
1775640660.576625,13,0.0
1775640662.267832,14,0.0
1775640662.5438006,15,0.0
1775640665.6626403,16,0.0
1775640667.3001842,17,0.0
1775640668.890751,18,0.0
1775640670.430516,19,0.0
1775640670.6699772,20,0.0
1775640672.3024526,21,0.0
1775640673.8826985,22,0.0
1775640676.9037116,23,0.0
1775640677.195567,24,0.0
1775640680.323845,25,0.0
1775640681.9186764,26,0.0
1775640683.5435302,27,0.0
1775640685.1091464,28,0.0
1775640688.0385134,29,0.0
1775640691.1026027,30,0.0
1775640694.1333528,31,0.0
1775640697.0809522,32,0.0
1775640700.4521294,33,0.0
1775640733.426911,34,1.0
1775640733.689988,35,1.0
1775640733.9917247,36,1.0
1775640734.2556849,37,1.0
1775640734.5422442,38,1.0
1775640734.8162231,39,1.0
1775640735.0573092,40,1.0
1775640735.3082004,41,1.0
1775640735.5607874,42,1.0
1775640735.8208935,43,1.0
1775640736.0774364,44,1.0
1775640736.3437696,45,1.0
1775640736.592053,46,1.0
1775640736.8552108,47,1.0
1775640737.0939536,48,1.0
1775640737.3297808,49,1.0
1775640737.5703344,50,1.0
1775640737.8250968,51,1.0
1775640738.1019874,52,1.0
1775640738.3435884,53,1.0
1775640738.5981445,54,1.0
1775640738.838788,55,1.0
1775640739.1284132,56,1.0
1775640739.387258,57,1.0
1775640739.661418,58,1.0
1775640739.893248,59,1.0
1775640740.1435761,60,1.0
1775640740.3961558,61,1.0
1775640740.632653,62,1.0
1775640740.880339,63,1.0
1775640741.1218657,64,1.0
1775640741.4035451,65,1.0
1775640741.6527698,66,1.0
1775640773.9352183,67,2.0
1775640774.2033625,68,2.0
1775640774.471656,69,2.0
1775640774.7097523,70,2.0
1775640774.9780042,71,2.0
1775640775.2399187,72,2.0
1775640775.489356,73,2.0
1775640775.760298,74,2.0
1775640776.0184944,75,2.0
1775640776.2568552,76,2.0
1775640776.511123,77,2.0
1775640776.7411098,78,2.0
1775640776.9885998,79,2.0
1775640777.262037,80,2.0
1775640777.5319939,81,2.0
1775640777.8098843,82,2.0
1775640778.078137,83,2.0
1775640778.3337984,84,2.0
1775640778.5804203,85,2.0
1775640778.8207686,86,2.0
1775640779.0674744,87,2.0
1775640779.3239474,88,2.0
1775640779.5711346,89,2.0
1775640779.8238692,90,2.0
1775640780.0727463,91,2.0
1775640780.3093553,92,2.0
1775640780.554526,93,2.0
1775640780.7947617,94,2.0
1775640781.0263913,95,2.0
1775640781.2660553,96,2.0
1775640781.5159695,97,2.0
1775640781.7676501,98,2.0
1775640782.014365,99,2.0
