Wall time,Step,Value
1775640639.4355955,1,4.999999873689376e-06
1775640641.0691786,2,4.999999873689376e-06
1775640644.0640614,3,4.999999873689376e-06
1775640644.3467653,4,4.999999873689376e-06
1775640647.4101,5,4.999999873689376e-06
1775640649.0749173,6,4.999999873689376e-06
1775640650.714581,7,4.999999873689376e-06
1775640652.3369007,8,4.999999873689376e-06
1775640653.9665055,9,4.999999873689376e-06
1775640655.5959654,10,4.999999873689376e-06
1775640657.3090372,11,4.999999873689376e-06
1775640658.95687,12,4.999999873689376e-06
1775640660.5766943,13,4.999999873689376e-06
1775640662.2679076,14,4.999999873689376e-06
1775640662.5438626,15,4.999999873689376e-06
1775640665.6627138,16,4.999999873689376e-06
1775640667.3002937,17,4.999999873689376e-06
1775640668.8908594,18,4.999999873689376e-06
1775640670.4306507,19,4.999999873689376e-06
1775640670.6700604,20,4.999999873689376e-06
1775640672.3025408,21,4.999999873689376e-06
1775640673.8828201,22,4.999999873689376e-06
1775640676.9038925,23,4.999999873689376e-06
1775640677.1956484,24,4.999999873689376e-06
1775640680.3239243,25,4.999999873689376e-06
1775640681.918795,26,4.999999873689376e-06
1775640683.543642,27,4.999999873689376e-06
1775640685.1092167,28,4.999999873689376e-06
1775640688.0386624,29,4.999999873689376e-06
1775640691.1026716,30,4.999999873689376e-06
1775640694.133511,31,4.999999873689376e-06
1775640697.0810301,32,4.999999873689376e-06
1775640700.4522777,33,4.999999873689376e-06
1775640733.4270818,34,4.999999873689376e-06
1775640733.6900449,35,4.999999873689376e-06
1775640733.991822,36,4.999999873689376e-06
1775640734.2557614,37,4.999999873689376e-06
1775640734.5423217,38,4.999999873689376e-06
1775640734.8163216,39,4.999999873689376e-06
1775640735.0573685,40,4.999999873689376e-06
1775640735.308265,41,4.999999873689376e-06
1775640735.5608935,42,4.999999873689376e-06
1775640735.8209503,43,4.999999873689376e-06
1775640736.077494,44,4.999999873689376e-06
1775640736.3438272,45,4.999999873689376e-06
1775640736.5921097,46,4.999999873689376e-06
1775640736.8552692,47,4.999999873689376e-06
1775640737.0940135,48,4.999999873689376e-06
1775640737.3298395,49,4.999999873689376e-06
1775640737.5703928,50,4.999999873689376e-06
1775640737.8251548,51,4.999999873689376e-06
1775640738.1020494,52,4.999999873689376e-06
1775640738.3436503,53,4.999999873689376e-06
1775640738.5982003,54,4.999999873689376e-06
1775640738.8388493,55,4.999999873689376e-06
1775640739.1284719,56,4.999999873689376e-06
1775640739.3873332,57,4.999999873689376e-06
1775640739.661488,58,4.999999873689376e-06
1775640739.8933172,59,4.999999873689376e-06
1775640740.143657,60,4.999999873689376e-06
1775640740.3962207,61,4.999999873689376e-06
1775640740.6327193,62,4.999999873689376e-06
1775640740.880494,63,4.999999873689376e-06
1775640741.121927,64,4.999999873689376e-06
1775640741.4036071,65,4.999999873689376e-06
1775640741.6528296,66,4.999999873689376e-06
1775640773.9353976,67,4.999999873689376e-06
1775640774.2034261,68,4.999999873689376e-06
1775640774.4717124,69,4.999999873689376e-06
1775640774.7098076,70,4.999999873689376e-06
1775640774.9780746,71,4.999999873689376e-06
1775640775.2399757,72,4.999999873689376e-06
1775640775.4894118,73,4.999999873689376e-06
1775640775.7603564,74,4.999999873689376e-06
1775640776.018556,75,4.999999873689376e-06
1775640776.2569146,76,4.999999873689376e-06
1775640776.5111985,77,4.999999873689376e-06
1775640776.7411606,78,4.999999873689376e-06
1775640776.9886785,79,4.999999873689376e-06
1775640777.2621026,80,4.999999873689376e-06
1775640777.5320463,81,4.999999873689376e-06
1775640777.809949,82,4.999999873689376e-06
1775640778.0781944,83,4.999999873689376e-06
1775640778.333869,84,4.999999873689376e-06
1775640778.5804782,85,4.999999873689376e-06
1775640778.8208294,86,4.999999873689376e-06
1775640779.0675325,87,4.999999873689376e-06
1775640779.324013,88,4.999999873689376e-06
1775640779.571201,89,4.999999873689376e-06
1775640779.8239317,90,4.999999873689376e-06
1775640780.0728025,91,4.999999873689376e-06
1775640780.3094127,92,4.999999873689376e-06
1775640780.5546052,93,4.999999873689376e-06
1775640780.7948258,94,4.999999873689376e-06
1775640781.026457,95,4.999999873689376e-06
1775640781.2661176,96,4.999999873689376e-06
1775640781.5160534,97,4.999999873689376e-06
1775640781.7677147,98,4.999999873689376e-06
1775640782.014424,99,4.999999873689376e-06
