Wall time,Step,Value
1775643563.8514009,1,0.0
1775643565.6174405,2,0.0
1775643568.7019944,3,0.0
1775643568.9860091,4,0.0
1775643572.0188105,5,0.0
1775643573.6504772,6,0.0
1775643575.3446088,7,0.0
1775643577.0355737,8,0.0
1775643578.7025654,9,0.0
1775643580.3780599,10,0.0
1775643582.0226536,11,0.0
1775643583.737995,12,0.0
1775643585.3997362,13,0.0
1775643587.0765908,14,0.0
1775643587.400192,15,0.0
1775643590.3990982,16,0.0
1775643592.0524812,17,0.0
1775643593.697874,18,0.0
1775643595.3761666,19,0.0
1775643595.627724,20,0.0
1775643597.2306273,21,0.0
1775643598.934876,22,0.0
1775643602.0286603,23,0.0
1775643602.2667344,24,0.0
1775643605.301188,25,0.0
1775643606.8917534,26,0.0
1775643608.495255,27,0.0
1775643610.1109037,28,0.0
1775643613.4440148,29,0.0
1775643616.474962,30,0.0
1775643619.5073152,31,0.0
1775643622.5681083,32,0.0
1775643625.9085703,33,0.0
1775643655.5792217,34,1.0
1775643655.8353353,35,1.0
1775643656.0759475,36,1.0
1775643656.3064032,37,1.0
1775643656.5597272,38,1.0
1775643656.81836,39,1.0
1775643657.0588126,40,1.0
1775643657.2912045,41,1.0
1775643657.506844,42,1.0
1775643657.7305744,43,1.0
1775643657.9348352,44,1.0
1775643658.1582265,45,1.0
1775643658.4092174,46,1.0
1775643658.630966,47,1.0
1775643658.8807487,48,1.0
1775643659.1261303,49,1.0
1775643659.3582342,50,1.0
1775643659.5843918,51,1.0
1775643659.831315,52,1.0
1775643660.0387118,53,1.0
1775643660.2472508,54,1.0
1775643660.455672,55,1.0
1775643660.6839483,56,1.0
1775643660.8994296,57,1.0
1775643661.124362,58,1.0
1775643661.357002,59,1.0
1775643661.5751476,60,1.0
1775643661.791177,61,1.0
1775643662.0002477,62,1.0
1775643662.20337,63,1.0
1775643662.4195495,64,1.0
1775643662.6415846,65,1.0
1775643662.8606656,66,1.0
1775643691.0659978,67,2.0
1775643691.3628306,68,2.0
1775643691.6339128,69,2.0
1775643691.8695357,70,2.0
1775643692.078444,71,2.0
1775643692.2939997,72,2.0
1775643692.527985,73,2.0
1775643692.7625372,74,2.0
1775643692.9985225,75,2.0
1775643693.2386286,76,2.0
1775643693.485536,77,2.0
1775643693.7519977,78,2.0
1775643693.9925075,79,2.0
1775643694.247829,80,2.0
1775643694.4974697,81,2.0
1775643694.7448938,82,2.0
1775643695.0035663,83,2.0
1775643695.2405765,84,2.0
1775643695.4988105,85,2.0
1775643695.7511091,86,2.0
1775643696.0204773,87,2.0
1775643696.270032,88,2.0
1775643696.5229185,89,2.0
1775643696.7739081,90,2.0
1775643697.0371912,91,2.0
1775643697.3029058,92,2.0
1775643697.567665,93,2.0
1775643697.8194647,94,2.0
1775643698.0754116,95,2.0
1775643698.3303545,96,2.0
1775643698.593374,97,2.0
1775643698.8502893,98,2.0
1775643699.1161005,99,2.0
