Wall time,Step,Value
1775645086.829658,1,0.0
1775645087.9854624,2,0.0
1775645090.100604,3,0.0
1775645090.3778005,4,0.0
1775645092.798747,5,0.0
1775645093.9328465,6,0.0
1775645095.1067736,7,0.0
1775645096.2695262,8,0.0
1775645097.4960501,9,0.0
1775645098.7044144,10,0.0
1775645099.8958676,11,0.0
1775645101.0878527,12,0.0
1775645102.2236521,13,0.0
1775645103.3597472,14,0.0
1775645103.5936472,15,0.0
1775645105.703643,16,0.0
1775645106.900606,17,0.0
1775645108.0523665,18,0.0
1775645109.2186716,19,0.0
1775645109.4296107,20,0.0
1775645110.6871045,21,0.0
1775645111.8084965,22,0.0
1775645114.2253294,23,0.0
1775645114.4501944,24,0.0
1775645117.0474417,25,0.0
1775645118.3329399,26,0.0
1775645119.5498457,27,0.0
1775645120.6743293,28,0.0
1775645122.8669333,29,0.0
1775645125.4858098,30,0.0
1775645128.402169,31,0.0
1775645131.1456614,32,0.0
1775645134.1263316,33,0.0
1775645162.872157,34,1.0
1775645163.1383133,35,1.0
1775645163.3819904,36,1.0
1775645163.6112034,37,1.0
1775645163.8403473,38,1.0
1775645164.0648315,39,1.0
1775645164.2792914,40,1.0
1775645164.4873064,41,1.0
1775645164.7048707,42,1.0
1775645164.9141827,43,1.0
1775645165.1340706,44,1.0
1775645165.3409946,45,1.0
1775645165.5499654,46,1.0
1775645165.7595234,47,1.0
1775645165.9746485,48,1.0
1775645166.1885662,49,1.0
1775645166.4009764,50,1.0
1775645166.6422606,51,1.0
1775645166.87502,52,1.0
1775645167.124906,53,1.0
1775645167.3350585,54,1.0
1775645167.5504005,55,1.0
1775645167.7654817,56,1.0
1775645167.9800832,57,1.0
1775645168.199615,58,1.0
1775645168.408834,59,1.0
1775645168.6238165,60,1.0
1775645168.8307257,61,1.0
1775645169.040832,62,1.0
1775645169.2649214,63,1.0
1775645169.47901,64,1.0
1775645169.7091808,65,1.0
1775645169.9244502,66,1.0
1775645201.5428858,67,2.0
1775645201.9270544,68,2.0
1775645202.2103243,69,2.0
1775645202.4818797,70,2.0
1775645202.7407973,71,2.0
1775645203.008156,72,2.0
1775645203.263471,73,2.0
1775645203.5663717,74,2.0
1775645203.8308256,75,2.0
1775645204.0870922,76,2.0
1775645204.3521588,77,2.0
1775645204.600786,78,2.0
1775645204.847858,79,2.0
1775645205.0903609,80,2.0
1775645205.3428602,81,2.0
1775645205.6197748,82,2.0
1775645205.878321,83,2.0
1775645206.1205738,84,2.0
1775645206.3878582,85,2.0
1775645206.6444783,86,2.0
1775645206.894488,87,2.0
1775645207.1413333,88,2.0
1775645207.39837,89,2.0
1775645207.6567256,90,2.0
1775645207.9324248,91,2.0
1775645208.2005572,92,2.0
1775645208.4480305,93,2.0
1775645208.69917,94,2.0
1775645208.9450915,95,2.0
1775645209.2187245,96,2.0
1775645209.5172462,97,2.0
1775645209.7900755,98,2.0
1775645210.0638943,99,2.0
