Wall time,Step,Value
1774613332.3128722,1,0.0
1774613333.902736,2,0.0
1774613336.8390293,3,0.0
1774613337.1347532,4,0.0
1774613340.055496,5,0.0
1774613341.6417186,6,0.0
1774613343.2144578,7,0.0
1774613344.7818322,8,0.0
1774613346.363877,9,0.0
1774613347.9156919,10,0.0
1774613349.0950034,11,0.0
1774613350.2311575,12,0.0
1774613351.3729851,13,0.0
1774613352.5164442,14,0.0
1774613352.7200105,15,0.0
1774613354.8148541,16,0.0
1774613355.9767816,17,0.0
1774613357.140587,18,0.0
1774613358.3042705,19,0.0
1774613358.5139828,20,0.0
1774613359.6754224,21,0.0
1774613360.8227172,22,0.0
1774613362.921446,23,0.0
1774613363.1296098,24,0.0
1774613365.2407172,25,0.0
1774613366.4020848,26,0.0
1774613367.5420423,27,0.0
1774613368.7028146,28,0.0
1774613370.7901006,29,0.0
1774613372.8809054,30,0.0
1774613374.986132,31,0.0
1774613377.0696166,32,0.0
1774613379.926057,33,0.0
1774613407.0674436,34,1.0
1774613407.3464024,35,1.0
1774613407.5692172,36,1.0
1774613407.7910094,37,1.0
1774613408.0130389,38,1.0
1774613408.2355492,39,1.0
1774613408.4536924,40,1.0
1774613408.6680062,41,1.0
1774613408.880376,42,1.0
1774613409.0981934,43,1.0
1774613409.318583,44,1.0
1774613409.5284464,45,1.0
1774613409.7453444,46,1.0
1774613409.9544473,47,1.0
1774613410.1710062,48,1.0
1774613410.3781292,49,1.0
1774613410.5938597,50,1.0
1774613410.832191,51,1.0
1774613411.05851,52,1.0
1774613411.2727432,53,1.0
1774613411.4866164,54,1.0
1774613411.705162,55,1.0
1774613411.920415,56,1.0
1774613412.1358101,57,1.0
1774613412.349661,58,1.0
1774613412.5688267,59,1.0
1774613412.7841558,60,1.0
1774613413.0004442,61,1.0
1774613413.21632,62,1.0
1774613413.4276628,63,1.0
1774613413.6312141,64,1.0
1774613413.830668,65,1.0
1774613414.0346773,66,1.0
1774943072.5042539,1,0.0
1774943074.1589584,2,0.0
1774943077.1112294,3,0.0
1774943077.3946147,4,0.0
1774943080.3633354,5,0.0
1774943081.9716783,6,0.0
1774943083.5606964,7,0.0
1774943085.1638143,8,0.0
1774943086.7742398,9,0.0
1774943088.360341,10,0.0
1774943089.9949722,11,0.0
1774943091.5757406,12,0.0
1774943093.1545417,13,0.0
1774943094.7320602,14,0.0
1774943094.9621181,15,0.0
1774943097.8708293,16,0.0
1774943099.471287,17,0.0
1774943101.0561662,18,0.0
1774943102.6456661,19,0.0
1774943102.8944342,20,0.0
1774943104.4504116,21,0.0
1774943106.0190823,22,0.0
1774943108.8897102,23,0.0
1774943109.1239724,24,0.0
1774943112.0074728,25,0.0
1774943113.6007693,26,0.0
1774943115.1624768,27,0.0
1774943116.704115,28,0.0
1774943119.605626,29,0.0
1774943122.5445175,30,0.0
1774943125.4757524,31,0.0
1774943128.3804233,32,0.0
1774943131.727301,33,0.0
1774943163.6779304,34,1.0
1774943164.0655031,35,1.0
1774943164.3248003,36,1.0
1774943164.5731907,37,1.0
1774943164.8318498,38,1.0
1774943165.0791128,39,1.0
1774943165.330566,40,1.0
1774943165.566388,41,1.0
1774943165.8179002,42,1.0
1774943166.0785613,43,1.0
1774943166.315541,44,1.0
1774943166.5533004,45,1.0
1774943166.8271785,46,1.0
1774943167.084259,47,1.0
1774943167.3473072,48,1.0
1774943167.614057,49,1.0
1774943167.8755414,50,1.0
1774943168.146581,51,1.0
1774943168.4143848,52,1.0
1774943168.654512,53,1.0
1774943168.898945,54,1.0
1774943169.1662536,55,1.0
1774943169.4242325,56,1.0
1774943169.6810563,57,1.0
1774943169.9279351,58,1.0
1774943170.1782296,59,1.0
1774943170.406457,60,1.0
1774943170.642882,61,1.0
1774943170.8780673,62,1.0
1774943171.1243768,63,1.0
1774943171.3634956,64,1.0
