Wall time,Step,Value
1774613332.3129876,1,4.999999873689376e-06
1774613333.9028382,2,4.999999873689376e-06
1774613336.8392258,3,4.999999873689376e-06
1774613337.1348207,4,4.999999873689376e-06
1774613340.0555773,5,4.999999873689376e-06
1774613341.6418097,6,4.999999873689376e-06
1774613343.214534,7,4.999999873689376e-06
1774613344.7818959,8,4.999999873689376e-06
1774613346.3639736,9,4.999999873689376e-06
1774613347.91574,10,4.999999873689376e-06
1774613349.095049,11,4.999999873689376e-06
1774613350.2311993,12,4.999999873689376e-06
1774613351.3730597,13,4.999999873689376e-06
1774613352.516505,14,4.999999873689376e-06
1774613352.7200544,15,4.999999873689376e-06
1774613354.8149018,16,4.999999873689376e-06
1774613355.9768279,17,4.999999873689376e-06
1774613357.1406298,18,4.999999873689376e-06
1774613358.3043191,19,4.999999873689376e-06
1774613358.5140688,20,4.999999873689376e-06
1774613359.6754649,21,4.999999873689376e-06
1774613360.8227587,22,4.999999873689376e-06
1774613362.9214962,23,4.999999873689376e-06
1774613363.129657,24,4.999999873689376e-06
1774613365.2407613,25,4.999999873689376e-06
1774613366.4021304,26,4.999999873689376e-06
1774613367.5420854,27,4.999999873689376e-06
1774613368.7028592,28,4.999999873689376e-06
1774613370.7901883,29,4.999999873689376e-06
1774613372.8809547,30,4.999999873689376e-06
1774613374.9861772,31,4.999999873689376e-06
1774613377.0696619,32,4.999999873689376e-06
1774613379.926136,33,4.999999873689376e-06
1774613407.067567,34,4.999999873689376e-06
1774613407.3464549,35,4.999999873689376e-06
1774613407.5692682,36,4.999999873689376e-06
1774613407.7910607,37,4.999999873689376e-06
1774613408.0130913,38,4.999999873689376e-06
1774613408.2355957,39,4.999999873689376e-06
1774613408.4537425,40,4.999999873689376e-06
1774613408.6680584,41,4.999999873689376e-06
1774613408.880423,42,4.999999873689376e-06
1774613409.0982413,43,4.999999873689376e-06
1774613409.3186293,44,4.999999873689376e-06
1774613409.5284953,45,4.999999873689376e-06
1774613409.745392,46,4.999999873689376e-06
1774613409.9544957,47,4.999999873689376e-06
1774613410.1710548,48,4.999999873689376e-06
1774613410.3781834,49,4.999999873689376e-06
1774613410.5939162,50,4.999999873689376e-06
1774613410.8322403,51,4.999999873689376e-06
1774613411.058558,52,4.999999873689376e-06
1774613411.272794,53,4.999999873689376e-06
