Wall time,Step,Value
1774613332.3136103,1,2.143611431121826
1774613333.9083545,2,2.088120222091675
1774613336.8434818,3,1.976917028427124
1774613337.140666,4,2.0036916732788086
1774613340.061603,5,2.018040657043457
1774613341.6476176,6,1.9799209833145142
1774613343.2206268,7,2.0429205894470215
1774613344.787886,8,2.0169432163238525
1774613346.3697455,9,2.0502679347991943
1774613347.9224024,10,2.014375925064087
1774613349.1020389,11,1.9961382150650024
1774613350.2381234,12,1.9538770914077759
1774613351.379885,13,1.998146891593933
1774613352.5233393,14,1.9171167612075806
1774613352.7266362,15,2.067491292953491
1774613354.8217103,16,1.9997856616973877
1774613355.9840145,17,1.8813377618789673
1774613357.1476223,18,1.9967408180236816
1774613358.3112898,19,2.0423049926757812
1774613358.5203106,20,1.9693012237548828
1774613359.6825218,21,1.9815014600753784
1774613360.8297026,22,2.033724784851074
1774613362.9283562,23,2.1193580627441406
1774613363.1361842,24,2.063058853149414
1774613365.2479227,25,2.10198974609375
1774613366.4090958,26,2.0612847805023193
1774613367.5490782,27,2.0474627017974854
1774613368.70987,28,2.1641056537628174
1774613370.7967908,29,2.0667824745178223
1774613372.8878305,30,2.0057129859924316
1774613374.9933355,31,1.9751555919647217
1774613377.0765276,32,1.9546229839324951
1774613379.9327493,33,2.0434603691101074
1774613407.06845,34,1.8037632703781128
1774613407.3524857,35,1.8281103372573853
1774613407.5755658,36,1.9471194744110107
1774613407.7973425,37,1.9519014358520508
1774613408.0193155,38,1.981660008430481
1774613408.2420225,39,1.826022982597351
1774613408.460191,40,1.9008649587631226
1774613408.6745036,41,2.0289762020111084
1774613408.8868241,42,1.824124813079834
1774613409.1047053,43,1.8854044675827026
1774613409.3250844,44,1.7583576440811157
1774613409.5349717,45,1.8772809505462646
1774613409.7516117,46,1.8879071474075317
1774613409.9608915,47,1.9631751775741577
1774613410.1772683,48,2.0032081604003906
1774613410.3839757,49,1.904702067375183
1774613410.599035,50,2.0213093757629395
1774613410.8384461,51,1.8406729698181152
1774613411.0647676,52,1.9558265209197998
1774613411.2790542,53,1.9609990119934082
1774613411.492948,54,1.8630789518356323
1774613411.7114577,55,1.8535844087600708
1774613411.9267108,56,2.031780481338501
1774613412.141459,57,1.9888094663619995
1774613412.3559172,58,1.8981715440750122
1774613412.5744624,59,1.9279156923294067
1774613412.7904289,60,2.031348466873169
1774613413.0067577,61,1.9638999700546265
1774613413.2226155,62,1.9442096948623657
